Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	53046674	54182447	1	53402433	54527595	cccccc
1	51839275	53023222	1	52179087	53364446	cccccc
1	55744231	56930040	1	56123600	57292751	cccccc
1	11976649	13199065	1	12132869	13369722	cccccc
1	16838014	18253486	1	17243819	18703988	cccccc
1	63277448	64698780	1	63727853	65133543	cccccc
1	68460866	69888922	1	68851167	70268023	cccccc
1	65863918	67486291	1	66225461	67850307	cccccc
1	58015608	62718642	1	58286672	62997480	cccccc
1	4853649	11117493	1	4962033	11280347	cccccc
1	20117438	51826190	1	20167437	52153794	cccccc
2	61218	1361365	2	12940	1299294	cccccc
2	1414782	1592138	2	1327341	1497431	cccccc
2	1593628	1783113	2	1499862	1686906	cccccc
2	1802537	2639259	2	1691848	2529519	cccccc
2	2639249	2805355	2	2532960	2710027	cccccc
2	2920168	4115940	2	2809770	3899511	cccccc
2	4131563	4249359	2	3908364	4016895	cccccc
2	4265988	5186524	2	4018573	4943743	cccccc
2	5186887	5475119	2	4944068	5230796	cccccc
2	5475968	5526234	2	5231356	5273462	cccccc
2	5533129	5892821	2	5299605	5647953	cccccc
2	5904497	6360208	2	5674568	6130483	cccccc
2	6380191	7676440	2	6133418	7421185	cccccc
2	7686617	9454674	2	7428281	9183506	cccccc
2	9454690	9774002	2	9184107	9509204	cccccc
2	9962296	10553496	2	9834082	10491163	cccccc
2	10564760	10982307	2	10491384	10873127	cccccc
2	11009022	12534580	2	10903146	12451660	cccccc
2	12547682	12660453	2	12461278	12570810	cccccc
2	12660737	12775135	2	12571792	12686207	cccccc
2	12775134	13294873	2	12686517	13190964	cccccc
2	13294973	17804201	2	13205663	17703231	cccccc
2	17811435	18138642	2	17748526	18079419	cccccc
2	18146867	18781480	2	18087837	18695249	cccccc
2	18799253	19307275	2	18719762	19219144	cccccc
2	19315985	19436491	2	19249755	19362566	cccccc
2	19471841	20001480	2	19442120	19946182	cccccc
2	20001833	20791026	2	19950718	20710693	cccccc
2	20813763	20935235	2	20716056	20832269	cccccc
2	20963843	21050272	2	20861589	20946570	cccccc
2	21114697	21413751	2	21070265	21387179	cccccc
2	21413747	21609640	2	21396400	21583524	cccccc
2	21622959	22337777	2	21614998	22299069	cccccc
2	22378012	22637528	2	22321088	22580767	cccccc
2	22640217	22787325	2	22582513	22728218	cccccc
2	22851981	23185559	2	22729905	23068033	cccccc
2	23266990	23388954	2	23136947	23260953	cccccc
2	23446415	23594661	2	23433933	23574349	cccccc
2	23682592	23741142	2	23658432	23728205	cccccc
2	23742568	23819558	2	23732731	23805670	cccccc
2	23840955	23966385	2	23816977	23935637	cccccc
2	23970226	24115908	2	23936564	24097064	cccccc
2	24174347	24294505	2	24161119	24283638	cccccc
2	24330744	24404250	2	24309004	24374550	cccccc
2	24408715	25361264	2	24385833	25387933	cccccc
2	25368871	25510070	2	25387955	25468788	cccccc
2	25677257	27963328	2	25671216	27966825	cccccc
2	27971938	28022070	2	27990879	28045902	cccccc
2	28080941	28546989	2	28102584	28497287	cccccc
2	28556586	28855070	2	28500838	28814072	cccccc
2	28855267	29020545	2	28814956	28975050	cccccc
2	29030139	29401377	2	28982038	29330380	cccccc
2	29410636	29805295	2	29343385	29732143	cccccc
2	29807613	30043362	2	29737275	29964424	cccccc
2	30055348	30695954	2	29996386	30616425	cccccc
2	30697128	32083758	2	30623047	31977633	cccccc
2	32108416	32345754	2	32746396	33169444	cccccc
2	32415303	32559489	2	33179132	33323371	cccccc
2	32644375	32918694	2	34141977	34430625	cccccc
2	32919272	33371737	2	34431332	34871270	cccccc
2	33468500	33728312	2	37168991	36909677	cccccc
2	33711880	33768858	2	36814836	36832418	cccccc
2	33846015	34294364	2	38976040	39443196	cccccc
2	34295904	34846501	2	39446094	40020725	cccccc
2	35143441	35351658	2	40205535	40443604	cccccc
2	35351549	35639334	2	40450263	40831477	cccccc
2	36893391	36997533	2	41534490	41546417	cccccc
2	37793131	37980509	2	42960971	43179131	cccccc
2	37996313	38683464	2	43178905	43894538	cccccc
2	38724042	39023754	2	43917091	44220481	cccccc
2	39049395	39128682	2	44235665	44324095	cccccc
2	39137143	39536525	2	44339511	44760116	cccccc
2	39537014	40861436	2	44760868	46059436	cccccc
2	40862480	40976499	2	46067473	46188202	cccccc
2	41057840	41190968	2	46306950	46465877	cccccc
2	41190926	41995065	2	46478923	47277643	cccccc
2	42000074	42247846	2	47290208	47520154	cccccc
2	42249358	44633414	2	47521574	49957238	cccccc
2	44653567	44810455	2	49967628	50124461	cccccc
2	44811187	45375506	2	50131560	50680641	cccccc
2	45376502	45466061	2	50684775	50810948	cccccc
2	45490138	45546301	2	50823671	50895979	cccccc
2	45547733	45633527	2	50938601	51005731	cccccc
2	45633688	46133107	2	51013696	51528914	cccccc
2	46429708	46618154	2	51598897	51796439	cccccc
2	46648070	48313175	2	51844340	53471878	cccccc
2	48341418	48812272	2	53514390	53970143	cccccc
2	48812970	52507891	2	53984838	57697967	cccccc
2	52510015	53057783	2	57700424	58240273	cccccc
2	53060018	53114529	2	58240689	58284807	cccccc
2	53197674	53252729	2	58375964	58424295	cccccc
2	53299672	53373174	2	58462656	58533857	cccccc
2	53408238	53461454	2	58553469	58611945	cccccc
2	53467299	57626893	2	58612207	62763513	cccccc
2	57627249	57957132	2	62765084	63083794	cccccc
2	57957605	58475096	2	63084915	63594371	cccccc
2	58479763	58611004	2	63610450	63746473	cccccc
2	58672541	58775179	2	63793395	63895297	cccccc
2	58781078	63765959	2	63902706	68883121	cccccc
3	1	579619	3	556559	1114002	cccccc
3	579567	2341175	3	1114756	2837394	cccccc
3	2342776	2508228	3	2837637	3005188	cccccc
3	2519787	3072502	3	3011328	3559312	cccccc
3	3145605	3497400	3	3616640	3963704	cccccc
3	3592114	4491195	3	4110859	5007207	cccccc
3	4493575	4683847	3	5008084	5202649	cccccc
3	4689503	7837976	3	5207030	8364029	cccccc
3	7855184	8959654	3	8373133	9468568	cccccc
3	9023910	9382489	3	9531391	9882541	cccccc
3	9405546	10059048	3	9889539	10614648	cccccc
3	10077416	10361000	3	10616572	10852664	cccccc
3	10378301	11911265	3	10857731	12361866	cccccc
3	12145961	12458850	3	12530002	12943854	cccccc
3	12560357	12682241	3	13086244	13212041	cccccc
3	12686977	13068745	3	13212037	13587487	cccccc
3	13072542	13869489	3	13588603	14400241	cccccc
3	13877979	13971498	3	14408139	14488360	cccccc
3	13988722	15074686	3	14490223	15591681	cccccc
3	15079348	15155180	3	15608461	15671896	cccccc
3	15155176	15224342	3	15674259	15734832	cccccc
3	15234448	15407306	3	15735844	15889046	cccccc
3	15424754	15546091	4	0	109727	cccccc
3	15546162	15734472	4	120738	299834	cccccc
3	15764670	15916118	4	312908	465242	cccccc
3	15916657	16040800	4	473996	591479	cccccc
3	16040855	16479047	4	628245	1033213	cccccc
3	16713899	17062293	4	1116108	1465529	cccccc
3	17062375	18181333	4	1480099	2628874	cccccc
3	18496533	18665486	4	2959373	3146230	cccccc
3	18743126	19282516	4	3157430	3688747	cccccc
3	19287676	19667199	4	3693650	4077059	cccccc
3	19687807	20022478	4	4104703	4434051	cccccc
3	20057030	20451599	4	4493923	4888170	cccccc
3	20459104	21073189	4	4888345	5631199	cccccc
3	21085676	21455768	4	5872179	6362086	cccccc
3	21471672	21686404	4	6363448	6578723	cccccc
3	21697289	21871834	4	6579620	6754063	cccccc
3	21873384	22907992	4	6754059	7863933	cccccc
3	22908917	23078489	4	7891860	8034419	cccccc
3	23078490	23378736	4	8035530	8313589	cccccc
3	23378575	23521759	4	15287886	15144813	CE472A
3	23526828	24634235	4	15130645	14043406	CE472A
3	24642066	25162951	4	14043388	13554893	CE472A
3	25162947	26264745	4	13547354	12434998	CE472A
3	26265794	26415560	4	12434756	12262093	CE472A
3	26423234	26876462	4	12252296	11770596	CE472A
3	27134273	27369823	4	11521767	11244435	CE472A
3	27378184	27965845	4	11243957	10596364	CE472A
3	27985417	28449204	4	10567638	10053236	CE472A
3	28485948	28999908	4	9906820	9412197	CE472A
3	29000553	29291844	4	9411876	9085251	CE472A
3	29292570	29788645	4	9076937	8546511	CE472A
3	29982277	30101144	4	8524374	8382788	CE472A
3	30120040	30340986	4	15279376	15494927	cccccc
3	30366261	30493686	4	15516482	15639445	cccccc
3	30540973	30593935	4	15702740	15768686	cccccc
3	30644843	30734392	4	15828189	15912748	cccccc
3	30897536	31188780	4	17066720	16749074	cccccc
3	31191622	31251219	4	16746312	16688938	cccccc
3	31251908	31466317	4	16688689	16459225	cccccc
3	31467196	31528764	4	16457916	16400156	cccccc
3	31659563	31733269	4	16262332	16177090	cccccc
3	31954641	32333136	4	19274818	19676647	cccccc
3	32343048	32800247	4	19688643	20099386	cccccc
3	32800841	33438453	4	20101209	20801758	cccccc
3	33439562	33642034	4	20809489	21005991	cccccc
3	33642029	33778110	4	21013801	21152050	cccccc
3	33858062	34087597	4	21250369	21505697	cccccc
3	34088051	34270179	4	21517232	21716939	cccccc
3	34436480	34653327	4	18881473	18659788	cccccc
3	34693105	35016475	4	19199639	18881473	cccccc
3	35018370	35080063	4	21874170	21877321	cccccc
3	35129281	36080061	4	17646405	18620135	cccccc
3	36318596	36447523	4	22022970	22162384	cccccc
3	36459250	37015519	4	24117898	24657848	cccccc
3	37031831	37909433	4	24687485	25550788	cccccc
3	37915059	38418350	4	25561873	26072124	cccccc
3	38489371	38879522	4	26138671	26450064	cccccc
3	38888476	39206371	4	26454939	26779772	cccccc
3	39247310	39308969	4	26807569	26870964	cccccc
3	39346628	40410385	4	26881436	27930317	cccccc
3	40411210	42175029	4	27930702	29593323	cccccc
3	42180225	43117718	4	29594646	30502833	cccccc
3	43157713	43322622	4	30545155	30694710	cccccc
3	43326378	43681414	4	30694814	31049904	cccccc
3	43681418	43933792	4	31048795	31299148	cccccc
3	43938256	45423875	4	31305662	32789693	cccccc
3	45423979	45592517	4	32805919	32977657	cccccc
3	45596800	45652739	4	32978513	33034386	cccccc
3	45657818	46360261	4	33034375	33727162	cccccc
3	46382935	46738764	4	33761762	34127583	cccccc
3	46756830	47029419	4	34143719	34438269	cccccc
3	47085375	48537411	4	34497575	35956766	cccccc
3	48562305	48760248	4	35967745	36148836	cccccc
3	48762615	48960327	4	36152762	36380078	cccccc
3	48971005	49252313	4	36469597	36751793	cccccc
3	49373984	49594384	4	36761314	36979344	cccccc
3	49595274	49902747	4	36979680	37287824	cccccc
3	49902762	49962288	4	37290417	37347410	cccccc
3	49975419	50046708	4	37379947	37454404	cccccc
3	50050680	50211991	4	37458905	37618475	cccccc
3	50271502	50812629	4	37673723	38231338	cccccc
3	50813060	50913609	4	38231769	38332394	cccccc
3	50943661	53160386	4	38350782	40568307	cccccc
3	53161235	56246425	4	40581327	43665922	cccccc
3	56251755	56537734	4	43665917	43955642	cccccc
3	56543596	57566500	4	43963011	44992209	cccccc
3	57566498	57617753	4	44992906	45046123	cccccc
3	57617693	57687930	4	45052197	45108135	cccccc
3	57700567	60773535	4	45162384	48229143	cccccc
3	60778337	61014460	4	48233711	48471952	cccccc
3	61037180	61749266	4	48484777	49187380	cccccc
3	61750181	62464876	4	49188276	49911235	cccccc
3	62464871	63742509	4	49922791	51178981	cccccc
4	60801	802260	5	586954	1356257	cccccc
4	804386	1766333	5	1407056	2339503	cccccc
4	1788853	1873111	5	2371784	2456052	cccccc
4	1878286	1954939	5	2456045	2544192	cccccc
4	1959429	2272606	5	2557973	2872820	cccccc
4	2283568	2692157	5	2872844	3286523	cccccc
4	2700782	2849205	5	3293275	3444573	cccccc
4	2888360	3681091	5	3487441	4283543	cccccc
4	3684367	4528274	5	4289182	5195105	cccccc
4	4528617	5486175	5	5195106	6165730	cccccc
4	5488795	5761538	5	6167129	6456341	cccccc
4	5763683	6065588	5	6456340	6738093	cccccc
4	6079638	6150821	5	6738568	6807069	cccccc
4	6154814	12262501	5	6807725	12912658	cccccc
4	12266869	12357166	5	12916593	12997698	cccccc
4	12421835	12502635	5	13101570	13182058	cccccc
4	12502985	14236597	5	13182470	14872361	cccccc
4	14255839	16457551	5	14882369	17100663	cccccc
4	16528233	16989924	5	17102491	17527525	cccccc
4	17278866	18209950	5	17673894	18548930	cccccc
4	18314916	18392438	5	18655291	18728059	cccccc
4	18393505	18739417	5	18728770	19109517	cccccc
4	18785500	18853058	5	19173256	19243052	cccccc
4	18857847	18950412	5	19249396	19326960	cccccc
4	18967264	19533224	5	19377238	19966016	cccccc
4	19534447	19751569	5	19984536	20191519	cccccc
4	19768238	19912928	5	20209870	20372326	cccccc
4	19912923	20073343	5	20381708	20562176	cccccc
4	20175343	20268595	5	20637674	20741220	cccccc
4	20283512	20373721	5	20751827	20843944	cccccc
4	20499016	20572507	5	20959920	21028145	cccccc
4	20608348	20678673	5	21117336	21186072	cccccc
4	20717716	20926843	5	21253343	21446617	cccccc
4	20930519	21156641	5	21458320	21655528	cccccc
4	21216028	21328011	5	21687460	21773816	cccccc
4	21332799	21431427	5	21832031	21896029	cccccc
4	21431423	21541384	5	21905162	22035066	cccccc
4	21550361	21757728	5	22039084	22241230	cccccc
4	21833514	21910701	5	22299369	22367138	cccccc
4	21925329	22071790	5	22388434	22535862	cccccc
4	22109337	22390373	5	22563172	22876070	cccccc
4	22396371	22480958	5	22879587	22932405	cccccc
4	22481835	22538158	5	22940194	22996435	cccccc
4	22547555	22675663	5	22996430	23140221	cccccc
4	22875929	23288325	5	23276023	23689717	cccccc
4	23289604	23443738	5	23698785	23836418	cccccc
4	23434933	23688836	5	27603190	27333273	cccccc
4	23695169	23833347	5	27332288	27174279	cccccc
4	23837121	24055270	5	27170859	26988050	cccccc
4	24056923	24573394	5	26985792	26487348	cccccc
4	24573604	24639807	5	26486188	26430852	cccccc
4	24658021	24897698	5	26430519	26204624	cccccc
4	25000463	25129552	5	25795209	25665469	cccccc
4	25139873	25250621	5	25665113	25554999	cccccc
4	25354061	25443160	5	25500330	25395186	cccccc
4	25450700	25927133	5	25395191	24921732	cccccc
4	25997061	27034897	5	28298950	29309701	cccccc
4	27034869	27540330	5	29366626	29887540	cccccc
4	27544478	27600005	5	29893350	29958422	cccccc
4	27705304	27870376	5	30057739	30192422	cccccc
4	27881146	27956707	5	30196776	30282671	cccccc
4	28122545	28193423	5	30436183	30468721	cccccc
4	28425261	29072159	5	31189006	31802837	cccccc
4	29093519	29354997	5	31809829	32049895	cccccc
4	29355212	29981024	5	32053552	32714203	cccccc
4	30024480	30342062	5	36705155	36397966	cccccc
4	30387309	31059565	5	36381857	35711261	cccccc
4	31132216	31234882	5	35625004	35503021	cccccc
4	31268556	31483954	5	35333081	35120740	cccccc
4	31485549	31560574	5	35113742	35007587	cccccc
4	31579755	32130656	5	35002521	34415297	cccccc
4	32180388	32257437	5	34360665	34300019	cccccc
4	32307931	32367810	5	34232857	34171048	cccccc
4	32375600	32506571	5	34169982	34045336	cccccc
4	32506819	32687147	5	34045058	33857947	cccccc
4	32731588	33688233	5	36789148	37762312	cccccc
4	33694617	33915268	5	37786455	38051455	cccccc
4	33930358	34628537	5	38073202	38775148	cccccc
4	34631517	34891232	5	38776834	39033548	cccccc
4	34891232	35334869	5	39034083	39472450	cccccc
4	35401314	35462049	5	39560339	39619839	cccccc
4	35462044	36414113	5	39621388	40547684	cccccc
4	36509925	36577039	5	40619779	40689527	cccccc
4	36588369	36679312	5	40695162	40789828	cccccc
4	36679322	36777249	5	40790019	40888397	cccccc
4	36778503	36854518	5	40897341	40970403	cccccc
4	36855180	37607711	5	40971070	41688971	cccccc
4	37617813	37735341	5	41697805	41825796	cccccc
4	37739428	38247402	5	41885266	42386485	cccccc
4	38247445	39290107	5	42386581	43394929	cccccc
4	39291276	39957158	5	43404252	44063242	cccccc
4	40017679	40096975	5	44082590	44174396	cccccc
4	40146184	44787455	5	44236610	48878185	cccccc
4	44787622	45621882	5	48878533	49691203	cccccc
4	45623155	45738068	5	49698454	49805587	cccccc
4	45787366	45953794	5	49854761	50010698	cccccc
4	46060150	47946707	5	50156223	52141824	cccccc
4	47991483	52157492	5	52186334	56353870	cccccc
4	52161393	53060019	5	56369370	57236649	cccccc
4	53060210	53336933	5	57385194	57746321	cccccc
4	53338081	53642728	5	57747468	58067540	cccccc
4	53650949	53871777	5	58083507	58313200	cccccc
4	53889924	54023331	5	58335506	58469183	cccccc
4	54030173	54219875	5	58471065	58670112	cccccc
4	54219872	56967792	5	58670413	61530054	cccccc
4	57000874	57649401	5	61855909	62503300	cccccc
4	57649860	57700783	5	62522312	62573205	cccccc
4	57723938	60004316	5	62575014	64875415	cccccc
4	60019645	60868752	5	64897657	65729168	cccccc
4	60892499	61313307	5	65753367	66174482	cccccc
5	142265	338334	6	19540019	19346341	CE472A
5	344592	2415681	6	19331251	17287880	CE472A
5	2416195	3022834	6	17284686	16700184	CE472A
5	3029413	3456986	6	16693085	16327587	CE472A
5	3541640	3698341	6	16256197	16099287	CE472A
5	3699339	4059406	6	16098539	15732416	CE472A
5	4060554	4314737	6	15731778	15494753	CE472A
5	4314730	4662756	6	15487582	15153802	CE472A
5	4675037	4931784	6	15126449	14869635	CE472A
5	4931903	8897848	6	14865940	10920772	CE472A
5	8898448	9650057	6	10920408	10169909	CE472A
5	9650331	11296838	6	10169326	8515580	CE472A
5	11299190	11865281	6	8515282	7944836	CE472A
5	11874964	12089540	6	7944602	7741498	CE472A
5	12090847	13125717	6	7740822	6697723	CE472A
5	13129830	13504245	6	6692659	6314654	CE472A
5	13504762	13583317	6	6314359	6238245	CE472A
5	13584054	14274018	6	6235379	5545796	CE472A
5	14332413	14547218	6	5502612	5288259	CE472A
5	14580485	14962540	6	5282561	4915141	CE472A
5	15015179	16142436	6	4892958	3869554	CE472A
5	16302500	16366976	6	3652114	3579390	CE472A
5	16407295	16481595	6	3501014	3429294	CE472A
5	16481703	16634944	6	3392838	3257383	CE472A
5	16637034	16825130	6	3254304	3065008	CE472A
5	16827197	16882162	6	3065006	2994359	CE472A
5	16924638	18168426	6	2966941	1728047	CE472A
5	18168529	18347654	6	1720144	1618216	CE472A
5	18361485	18816677	6	1608001	1143891	CE472A
5	18882171	19060282	6	1059504	889809	CE472A
5	19182367	19394475	6	747954	528947	CE472A
5	19395321	19742807	6	528742	166246	CE472A
5	19781542	19925098	6	159596	15231	CE472A
5	19991099	20069093	6	19819412	19905013	cccccc
5	20073850	20251499	6	19911025	20069140	cccccc
5	20368318	20473529	6	20198018	20296736	cccccc
5	20629101	20701479	6	21770733	21683836	cccccc
5	20701610	20797476	6	21676105	21535380	cccccc
5	20915110	21010619	6	20848785	20736805	cccccc
5	21071350	21209358	6	20568321	20429584	cccccc
5	21215192	21282794	6	20429588	20357082	cccccc
5	21301492	21462786	6	21956670	22111742	cccccc
5	21546015	21615931	6	22206291	22276554	cccccc
5	21672437	21764022	6	22295910	22374610	cccccc
5	21814613	21864752	6	22481076	22539914	cccccc
5	21870911	22026827	6	22546097	22697162	cccccc
5	22087275	22224865	6	22745589	22830083	cccccc
5	22239740	22338056	6	22831527	22911779	cccccc
5	22817561	22870561	6	23088480	23135227	cccccc
5	22885351	23054815	6	23144309	23335885	cccccc
5	23131591	23270317	6	23379911	23518373	cccccc
5	23385603	23435918	6	23560485	23595147	cccccc
5	23540753	23642009	6	23656980	23758159	cccccc
5	23686357	23752916	6	23821950	23906701	cccccc
5	23753169	23804105	6	23910485	23957613	cccccc
5	23808565	23977032	6	23960771	24062517	cccccc
5	23985910	24050811	6	24071597	24136759	cccccc
5	24081765	24149333	6	24291791	24344449	cccccc
5	24150911	24379931	6	24354791	24593146	cccccc
5	24477182	24540855	6	24818922	24887993	cccccc
5	24564330	24654795	6	24917220	24998802	cccccc
5	24716441	24818686	6	25047633	25145330	cccccc
5	24857673	25194067	6	25206021	25509954	cccccc
5	25195605	25394363	6	25509950	25647590	cccccc
5	25394358	25581716	6	25655404	25851188	cccccc
5	25582197	25847650	6	25851406	26105046	cccccc
5	25917773	26152861	6	26210226	26443041	cccccc
5	26209068	26333760	6	26513574	26651566	cccccc
5	26401186	26516186	6	26732503	26835475	cccccc
5	26540342	26597213	6	26909368	26967564	cccccc
5	26654766	26807047	6	27018439	27126356	cccccc
5	26876912	26937799	6	27470284	27621398	cccccc
5	27829289	27883551	6	28579505	28635987	cccccc
5	27891347	27944680	6	28635982	28692591	cccccc
5	29135173	29430507	6	29417574	29673193	cccccc
5	29436296	29675314	6	29821293	30040397	cccccc
5	29701471	29785239	6	30076944	30147060	cccccc
5	29802551	30023672	6	30214240	30476789	cccccc
5	30047894	30174652	6	30478848	30605929	cccccc
5	30185284	30278477	6	30609422	30723325	cccccc
5	30280513	30335949	6	30725355	30777374	cccccc
5	30544216	30678776	6	30859886	31001130	cccccc
5	30679128	30771300	6	31005464	31098237	cccccc
5	30771296	30829462	6	31107584	31155411	cccccc
5	30837933	31030750	6	31155755	31314197	cccccc
5	31030745	31099326	6	31320546	31383733	cccccc
5	31101760	31235904	6	31392412	31535916	cccccc
5	31405049	31539131	6	31676983	31799959	cccccc
5	31602192	31772506	6	31871463	32037884	cccccc
5	32135660	32264402	6	32378609	32474505	cccccc
5	32292768	32518929	6	32477132	32688818	cccccc
5	32551085	32826724	6	32758231	32988561	cccccc
5	32884119	33141465	6	33032043	33288350	cccccc
5	33192209	33251177	6	33361754	33486526	cccccc
5	33273427	33334103	6	33506291	33564125	cccccc
5	33393208	33444507	6	33626785	33676433	cccccc
5	33444806	33644533	6	33684220	33883729	cccccc
5	33646083	33954831	6	33883725	34225886	cccccc
5	33961535	34133774	6	34225799	34316352	cccccc
5	34138635	34223849	6	34332084	34423770	cccccc
5	34323224	34439214	6	34536943	34660174	cccccc
5	34446304	34581008	6	34670977	34805265	cccccc
5	35006765	35101135	6	35054949	35152704	cccccc
5	35167809	35228026	6	35215731	35276332	cccccc
5	35239692	35333199	6	35286307	35375763	cccccc
5	35556243	35719255	6	35532862	35683253	cccccc
5	35774814	35829147	6	35729837	35758759	cccccc
5	36066137	36209184	6	35970726	36112994	cccccc
5	36210911	36291238	6	36114908	36202311	cccccc
5	36454601	36554079	6	36266799	36349249	cccccc
5	36794597	36899528	6	36605874	36699283	cccccc
5	36904880	37040603	6	36710622	36822517	cccccc
5	37530041	37617197	6	36954993	37043896	cccccc
5	37620383	37854774	6	37049720	37298240	cccccc
5	37877105	37929359	6	37307033	37372921	cccccc
5	37941293	38115254	6	37399445	37520213	cccccc
5	38118664	38361730	6	37524311	37717687	cccccc
5	38362793	38417102	6	37724662	37749859	cccccc
5	38484172	38635262	6	37865909	38032302	cccccc
5	38674533	38756457	6	38083085	38131830	cccccc
5	38868491	38960408	6	38235261	38305208	cccccc
5	39494790	39570177	6	38585930	38599270	cccccc
5	40517522	41670889	6	39578395	40665469	cccccc
5	41769082	41960830	6	40725115	40907732	cccccc
5	41966087	42186407	6	40917100	41142387	cccccc
5	42187281	42805147	6	41148011	41772780	cccccc
5	42805895	42877493	6	41773010	41847058	cccccc
5	42885914	42947162	6	41851595	41911262	cccccc
5	43433659	44077187	6	42017735	42663986	cccccc
5	44085021	44136478	6	42665707	42716700	cccccc
5	44137047	45691320	6	42719643	44275546	cccccc
5	45722515	46444525	7	128804	902290	cccccc
5	45746901	45803399	7	1	52162	cccccc
5	46455245	46654433	7	904491	1107580	cccccc
5	46702774	48932046	7	1140317	3426432	cccccc
5	48932728	48985588	7	3429081	3480383	cccccc
5	48994749	49108769	7	3485693	3597098	cccccc
5	49109392	49570620	7	3597441	4035804	cccccc
5	49571240	49841128	7	4037688	4310806	cccccc
5	49864362	50945331	7	4326928	5387243	cccccc
5	50946840	51531937	7	5388376	5974728	cccccc
5	51532543	52152427	7	5974868	6592036	cccccc
5	52153242	52916025	7	6593619	7363377	cccccc
5	53115419	55301005	7	7398175	9606390	cccccc
5	55301248	55915670	7	9632683	10236469	cccccc
5	55922192	57376554	7	10245968	11702455	cccccc
6	142863	339986	8	1854075	2045062	cccccc
6	374676	517511	8	2086367	2237172	cccccc
6	518285	1259820	8	2237169	2990459	cccccc
6	1263279	1329770	8	2998184	3063994	cccccc
6	1329874	1471879	8	3064223	3203064	cccccc
6	1476239	1598604	8	3203192	3335739	cccccc
6	1631670	1797778	8	3365343	3506468	cccccc
6	1845508	2055300	8	3512670	3707167	cccccc
6	2057319	2189282	8	3711108	3845461	cccccc
6	2190539	2331344	8	3845454	3982111	cccccc
6	2337801	2476546	8	3982107	4123117	cccccc
6	2481648	3030591	8	4128200	4645679	cccccc
6	3030712	3583838	8	4645803	5186797	cccccc
6	3587764	3690547	8	5186795	5478535	cccccc
6	3693565	3913688	8	5609097	5827144	cccccc
6	3916344	5335749	8	5832939	7248420	cccccc
6	5336427	5502371	8	7249363	7413662	cccccc
6	5505411	5809703	8	7420708	7739521	cccccc
6	5813129	6662546	8	7740171	8578174	cccccc
6	6662778	6732823	8	8578447	8654499	cccccc
6	6738004	7021712	8	8659153	8951931	cccccc
6	7021821	7410209	8	8988662	9389459	cccccc
6	7410934	7466137	8	9391098	9452179	cccccc
6	7471756	24468427	8	9457248	26592598	cccccc
6	24417087	24468281	9	586926	631597	cccccc
6	24446831	24499839	9	334551	388886	cccccc
6	24446967	30514436	9	783386	6985626	cccccc
6	30481681	50708675	10	552476	20735807	cccccc
6	50709330	50816873	10	20736157	20845211	cccccc
6	50827194	51461305	10	20845491	21480487	cccccc
6	51461530	51614956	10	21489776	21638646	cccccc
6	51679765	51816855	10	21668830	21805551	cccccc
6	51838052	51968415	10	21829997	21953225	cccccc
6	51982339	52065890	10	21956954	22040009	cccccc
